region,anomaly_type,count,avg_severity
Приморский край,cross_source_discrepancy,33,70.0
Приморский край,geographic_anomaly,85,93.70588235294117
Приморский край,logical_inconsistency,66,64.95060606060606
Приморский край,statistical_outlier,32,67.1875
Псковская область,cross_source_discrepancy,26,70.0
Псковская область,geographic_anomaly,58,94.62068965517241
Псковская область,logical_inconsistency,50,62.8508
Псковская область,statistical_outlier,7,67.14285714285714
Республика Адыгея,cross_source_discrepancy,9,70.0
Республика Адыгея,geographic_anomaly,27,94.22222222222223
Республика Адыгея,logical_inconsistency,24,58.657916666666665
Республика Адыгея,statistical_outlier,9,63.333333333333336
Республика Алтай,cross_source_discrepancy,11,70.0
Республика Алтай,geographic_anomaly,18,93.5
Республика Алтай,logical_inconsistency,20,59.07000000000001
Республика Алтай,statistical_outlier,1,50.0
Республика Башкортостан,cross_source_discrepancy,62,70.0
Республика Башкортостан,geographic_anomaly,126,92.26190476190476
Республика Башкортостан,logical_inconsistency,44,58.9765909090909
Республика Башкортостан,statistical_outlier,31,65.80645161290323
Республика Бурятия,cross_source_discrepancy,22,70.0
Республика Бурятия,geographic_anomaly,46,90.67391304347827
Республика Бурятия,logical_inconsistency,20,61.56849999999999
Республика Бурятия,statistical_outlier,5,88.0
Республика Дагестан,cross_source_discrepancy,48,70.0
Республика Дагестан,geographic_anomaly,77,90.06493506493507
Республика Дагестан,logical_inconsistency,210,68.51014285714285
Республика Дагестан,statistical_outlier,70,86.57142857142857
Республика Ингушетия,cross_source_discrepancy,9,70.0
Республика Ингушетия,geographic_anomaly,10,92.2
Республика Ингушетия,logical_inconsistency,48,72.105
Республика Ингушетия,statistical_outlier,15,87.33333333333333
Республика Калмыкия,cross_source_discrepancy,13,70.0
Республика Калмыкия,geographic_anomaly,14,93.03571428571429
Республика Калмыкия,logical_inconsistency,14,64.28571428571429
Республика Калмыкия,statistical_outlier,8,76.25
Республика Карелия,cross_source_discrepancy,18,70.0
Республика Карелия,geographic_anomaly,23,94.91304347826087
Республика Карелия,logical_inconsistency,19,68.46947368421053
Республика Карелия,statistical_outlier,8,70.0
Республика Коми,cross_source_discrepancy,20,70.0
Республика Коми,geographic_anomaly,19,94.86842105263158
Республика Коми,logical_inconsistency,9,59.642222222222216
Республика Коми,statistical_outlier,12,66.66666666666667
Республика Крым,cross_source_discrepancy,25,70.0
Республика Крым,geographic_anomaly,38,91.78947368421052
Республика Крым,logical_inconsistency,5,75.0
Республика Крым,statistical_outlier,10,60.0
Республика Марий Эл,cross_source_discrepancy,17,70.0
Республика Марий Эл,geographic_anomaly,35,92.2
Республика Марий Эл,logical_inconsistency,9,57.91555555555556
Республика Марий Эл,statistical_outlier,4,70.0
Республика Мордовия,cross_source_discrepancy,23,70.0
Республика Мордовия,geographic_anomaly,32,90.25
Республика Мордовия,logical_inconsistency,3,78.33333333333333
Республика Мордовия,statistical_outlier,6,80.0
Республика Саха (Якутия),cross_source_discrepancy,32,70.0
Республика Саха (Якутия),geographic_anomaly,64,90.5703125
Республика Саха (Якутия),logical_inconsistency,71,71.42323943661972
Республика Саха (Якутия),statistical_outlier,128,63.59375
Республика Северная Осетия — Алания,cross_source_discrepancy,9,70.0
